Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,1978.665,4.2738,34.9703,4.7099,27.756573,23.73,1.58,24.4,37.7,110.55,6
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,2470.203,4.3034,34.9719,4.733,27.760426,19.8,1.18,20.66,39.9,109.7152,6
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,3525.205,4.4143,34.973,4.721,27.762866,23.34,1.44,24.39,42.9,110.3468,6
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,8.942,23.7396,36.4921,4.5911,24.852034,0.15,0.33,2.18,88.7,8.6387,1
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,49.672,23.6558,36.4884,4.5838,24.876624,0,0.25,2.2,82,9.2963,1
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,74.504,23.6599,36.4916,4.5629,24.879391,0.02,0.24,2.17,80.5,10.2072,1
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,149.974,19.6791,36.501,2.8225,26.003593,10.21,0.59,4.12,69,101.5481,2
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,457.525,9.9609,35.2099,2.4393,27.136974,28.94,1.65,15.32,43.7,169.222,4.5
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,594.288,7.9627,34.9887,2.642,27.284789,31.44,1.76,18.94,43.9,173.4692,5
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,793.325,6.1473,34.9048,3.2593,27.472883,30.29,1.74,23.19,40.5,159.2436,5
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,991.182,5.2215,34.9264,3.7996,27.605858,27.82,1.48,24.23,38.9,142.4743,6
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,1190.828,4.6441,34.9493,4.258,27.691676,25.74,1.54,24.87,42.4,126.89,6
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,1978.669,4.2775,34.9703,4.7083,27.756163,23.67,1.39,24.4,43.4,110.5915,6
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,2469.226,4.3037,34.9719,4.7293,27.760391,23.66,1.44,24.21,43.7,109.8733,6
2,17,2013-02-22T06:46,-94.00345,25.00698,3696,3660.028,4.4315,34.973,4.7146,27.762894,23.2,1.15,23.98,43.4,110.6261,6
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,8.942,22.9578,36.5495,4.6577,25.12498,0,0.03,1.69,64.1,8.5343,1
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,48.679,22.6005,36.5473,4.6578,25.228905,0,0.21,1.67,64.5,9.8981,1
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,75.497,22.3853,36.5439,4.5942,25.289555,0.17,0.14,1.82,69.2,13.5059,1
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,148.981,19.646,36.5146,2.85,26.022635,10.24,0.52,3.86,56.4,100.4686,2
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,446.62,10.0037,35.2062,2.5014,27.126517,28.48,1.86,14.95,46.9,166.2563,4.5
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,596.27,7.968,34.9895,2.6358,27.284639,31.26,1.91,19.3,52.1,173.7046,5
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,792.335,6.2237,34.9115,3.1834,27.468292,30.52,1.99,23.19,39,161.9972,5
2,18,2013-02-22T15:01,-93.02484,24.99974,3633,992.171,5.2302,34.9262,3.7719,27.60462,28.29,1.81,24.68,40.6,143.6184,6
